"year","state","month","number","date"
2000,"Minas Gerais","Abril",49,2000-01-01
2001,"Minas Gerais","Abril",60,2001-01-01
2002,"Minas Gerais","Abril",99,2002-01-01
2003,"Minas Gerais","Abril",215,2003-01-01
2004,"Minas Gerais","Abril",48,2004-01-01
2005,"Minas Gerais","Abril",89,2005-01-01
2006,"Minas Gerais","Abril",50,2006-01-01
2007,"Minas Gerais","Abril",35,2007-01-01
2008,"Minas Gerais","Abril",113,2008-01-01
2009,"Minas Gerais","Abril",26,2009-01-01
2010,"Minas Gerais","Abril",112,2010-01-01
2011,"Minas Gerais","Abril",66,2011-01-01
2012,"Minas Gerais","Abril",180,2012-01-01
2013,"Minas Gerais","Abril",61,2013-01-01
2014,"Minas Gerais","Abril",161,2014-01-01
2015,"Minas Gerais","Abril",109,2015-01-01
2016,"Minas Gerais","Abril",172,2016-01-01
2017,"Minas Gerais","Abril",69,2017-01-01
1998,"Minas Gerais","Mayo",0,1998-01-01
1999,"Minas Gerais","Mayo",51,1999-01-01
2000,"Minas Gerais","Mayo",67,2000-01-01
2001,"Minas Gerais","Mayo",83,2001-01-01
2002,"Minas Gerais","Mayo",98,2002-01-01
2003,"Minas Gerais","Mayo",75,2003-01-01
2004,"Minas Gerais","Mayo",79,2004-01-01
2005,"Minas Gerais","Mayo",134,2005-01-01
2006,"Minas Gerais","Mayo",62,2006-01-01
2007,"Minas Gerais","Mayo",124,2007-01-01
2008,"Minas Gerais","Mayo",50,2008-01-01
2009,"Minas Gerais","Mayo",128,2009-01-01
2010,"Minas Gerais","Mayo",179,2010-01-01
2011,"Minas Gerais","Mayo",151,2011-01-01
2012,"Minas Gerais","Mayo",144,2012-01-01
2013,"Minas Gerais","Mayo",150,2013-01-01
2014,"Minas Gerais","Mayo",224,2014-01-01
2015,"Minas Gerais","Mayo",114,2015-01-01
2016,"Minas Gerais","Mayo",186,2016-01-01
2017,"Minas Gerais","Mayo",125,2017-01-01
1998,"Minas Gerais","Junio",70,1998-01-01
1999,"Minas Gerais","Junio",132,1999-01-01
2000,"Minas Gerais","Junio",135,2000-01-01
2001,"Minas Gerais","Junio",166,2001-01-01
2002,"Minas Gerais","Junio",207,2002-01-01
2003,"Minas Gerais","Junio",245,2003-01-01
2004,"Minas Gerais","Junio",209,2004-01-01
2005,"Minas Gerais","Junio",246,2005-01-01
2006,"Minas Gerais","Junio",73,2006-01-01
2007,"Minas Gerais","Junio",184,2007-01-01
2008,"Minas Gerais","Junio",48,2008-01-01
2009,"Minas Gerais","Junio",173,2009-01-01
2010,"Minas Gerais","Junio",139,2010-01-01
2011,"Minas Gerais","Junio",304,2011-01-01
2012,"Minas Gerais","Junio",219,2012-01-01
2013,"Minas Gerais","Junio",144,2013-01-01
2014,"Minas Gerais","Junio",376,2014-01-01
2015,"Minas Gerais","Junio",200,2015-01-01
2016,"Minas Gerais","Junio",263,2016-01-01
2017,"Minas Gerais","Junio",360,2017-01-01
1998,"Minas Gerais","Julio",232,1998-01-01
1999,"Minas Gerais","Julio",318,1999-01-01
2000,"Minas Gerais","Julio",345,2000-01-01
2001,"Minas Gerais","Julio",266,2001-01-01
2002,"Minas Gerais","Julio",741,2002-01-01
2003,"Minas Gerais","Julio",407,2003-01-01
2004,"Minas Gerais","Julio",625,2004-01-01
2005,"Minas Gerais","Julio",467,2005-01-01
2006,"Minas Gerais","Julio",336,2006-01-01
2007,"Minas Gerais","Julio",446,2007-01-01
2008,"Minas Gerais","Julio",194,2008-01-01
2009,"Minas Gerais","Julio",477,2009-01-01
2010,"Minas Gerais","Julio",707,2010-01-01
2011,"Minas Gerais","Julio",801,2011-01-01
2012,"Minas Gerais","Julio",669,2012-01-01
2013,"Minas Gerais","Julio",462,2013-01-01
2014,"Minas Gerais","Julio",559,2014-01-01
2015,"Minas Gerais","Julio",288,2015-01-01
2016,"Minas Gerais","Julio",1.004,2016-01-01
2017,"Minas Gerais","Julio",610,2017-01-01
1998,"Minas Gerais","Agosto",875,1998-01-01
1999,"Minas Gerais","Agosto",1.19,1999-01-01
2000,"Minas Gerais","Agosto",769,2000-01-01
2001,"Minas Gerais","Agosto",858,2001-01-01
2002,"Minas Gerais","Agosto",2.041,2002-01-01
2003,"Minas Gerais","Agosto",1.955,2003-01-01
2004,"Minas Gerais","Agosto",1.642,2004-01-01
2005,"Minas Gerais","Agosto",1.029,2005-01-01
2006,"Minas Gerais","Agosto",959,2006-01-01
2007,"Minas Gerais","Agosto",2.975,2007-01-01
2008,"Minas Gerais","Agosto",605,2008-01-01
2009,"Minas Gerais","Agosto",685,2009-01-01
2010,"Minas Gerais","Agosto",3.353,2010-01-01
2011,"Minas Gerais","Agosto",2.742,2011-01-01
2012,"Minas Gerais","Agosto",901,2012-01-01
2013,"Minas Gerais","Agosto",911,2013-01-01
2014,"Minas Gerais","Agosto",1.952,2014-01-01
2015,"Minas Gerais","Agosto",1.059,2015-01-01
2016,"Minas Gerais","Agosto",1.433,2016-01-01
2017,"Minas Gerais","Agosto",2.142,2017-01-01
1998,"Minas Gerais","Septiembre",1.981,1998-01-01
1999,"Minas Gerais","Septiembre",2.686,1999-01-01
2000,"Minas Gerais","Septiembre",1.08,2000-01-01
2001,"Minas Gerais","Septiembre",1.597,2001-01-01
2002,"Minas Gerais","Septiembre",3.1,2002-01-01
2003,"Minas Gerais","Septiembre",7.091,2003-01-01
2004,"Minas Gerais","Septiembre",4.339,2004-01-01
2005,"Minas Gerais","Septiembre",2.047,2005-01-01
2006,"Minas Gerais","Septiembre",2.78,2006-01-01
2007,"Minas Gerais","Septiembre",5.088,2007-01-01
2008,"Minas Gerais","Septiembre",2.552,2008-01-01
2009,"Minas Gerais","Septiembre",1.31,2009-01-01
2010,"Minas Gerais","Septiembre",5.059,2010-01-01
2011,"Minas Gerais","Septiembre",5.978,2011-01-01
2012,"Minas Gerais","Septiembre",3.219,2012-01-01
2013,"Minas Gerais","Septiembre",1.656,2013-01-01
2014,"Minas Gerais","Septiembre",3.454,2014-01-01
2015,"Minas Gerais","Septiembre",3.088,2015-01-01
2016,"Minas Gerais","Septiembre",2.093,2016-01-01
2017,"Minas Gerais","Septiembre",4.697,2017-01-01
1998,"Minas Gerais","Octubre",1.093,1998-01-01
1999,"Minas Gerais","Octubre",1.363,1999-01-01
2000,"Minas Gerais","Octubre",1.954,2000-01-01
2001,"Minas Gerais","Octubre",528,2001-01-01
2002,"Minas Gerais","Octubre",4.788,2002-01-01
2003,"Minas Gerais","Octubre",5.391,2003-01-01
2004,"Minas Gerais","Octubre",2.736,2004-01-01
2005,"Minas Gerais","Octubre",6.546,2005-01-01
2006,"Minas Gerais","Octubre",616,2006-01-01
2007,"Minas Gerais","Octubre",3.467,2007-01-01
2008,"Minas Gerais","Octubre",3.787,2008-01-01
2009,"Minas Gerais","Octubre",1.013,2009-01-01
2010,"Minas Gerais","Octubre",2.048,2010-01-01
2011,"Minas Gerais","Octubre",1.206,2011-01-01
2012,"Minas Gerais","Octubre",3.97,2012-01-01
2013,"Minas Gerais","Octubre",1.221,2013-01-01
2014,"Minas Gerais","Octubre",4.735,2014-01-01
2015,"Minas Gerais","Octubre",3.708,2015-01-01
2016,"Minas Gerais","Octubre",948,2016-01-01
2017,"Minas Gerais","Octubre",3.062,2017-01-01
1998,"Minas Gerais","Noviembre",32,1998-01-01
1999,"Minas Gerais","Noviembre",271,1999-01-01
2000,"Minas Gerais","Noviembre",43,2000-01-01
2001,"Minas Gerais","Noviembre",62,2001-01-01
2002,"Minas Gerais","Noviembre",417,2002-01-01
2003,"Minas Gerais","Noviembre",399,2003-01-01
2004,"Minas Gerais","Noviembre",914,2004-01-01
2005,"Minas Gerais","Noviembre",422,2005-01-01
2006,"Minas Gerais","Noviembre",59,2006-01-01
2007,"Minas Gerais","Noviembre",1.305,2007-01-01
2008,"Minas Gerais","Noviembre",892,2008-01-01
2009,"Minas Gerais","Noviembre",246,2009-01-01
2010,"Minas Gerais","Noviembre",82,2010-01-01
2011,"Minas Gerais","Noviembre",153,2011-01-01
2012,"Minas Gerais","Noviembre",220,2012-01-01
2013,"Minas Gerais","Noviembre",277,2013-01-01
2014,"Minas Gerais","Noviembre",398,2014-01-01
2015,"Minas Gerais","Noviembre",1.453,2015-01-01
2016,"Minas Gerais","Noviembre",126,2016-01-01
2017,"Minas Gerais","Noviembre",136,2017-01-01
1998,"Minas Gerais","Diciembre",21,1998-01-01
1999,"Minas Gerais","Diciembre",32,1999-01-01
2000,"Minas Gerais","Diciembre",14,2000-01-01
2001,"Minas Gerais","Diciembre",44,2001-01-01
2002,"Minas Gerais","Diciembre",225,2002-01-01
2003,"Minas Gerais","Diciembre",225,2003-01-01
2004,"Minas Gerais","Diciembre",125,2004-01-01
2005,"Minas Gerais","Diciembre",65,2005-01-01
2006,"Minas Gerais","Diciembre",32,2006-01-01
2007,"Minas Gerais","Diciembre",95,2007-01-01
2008,"Minas Gerais","Diciembre",25,2008-01-01
2009,"Minas Gerais","Diciembre",108,2009-01-01
2010,"Minas Gerais","Diciembre",105,2010-01-01
2011,"Minas Gerais","Diciembre",43,2011-01-01
2012,"Minas Gerais","Diciembre",189,2012-01-01
2013,"Minas Gerais","Diciembre",98,2013-01-01
2014,"Minas Gerais","Diciembre",155,2014-01-01
2015,"Minas Gerais","Diciembre",295,2015-01-01
2016,"Minas Gerais","Diciembre",91,2016-01-01
1998,"Pará","Enero",0,1998-01-01
1999,"Pará","Enero",87,1999-01-01
2000,"Pará","Enero",30,2000-01-01
2001,"Pará","Enero",34,2001-01-01
2002,"Pará","Enero",144,2002-01-01
2003,"Pará","Enero",900,2003-01-01
2004,"Pará","Enero",579,2004-01-01
2005,"Pará","Enero",1.768,2005-01-01
2006,"Pará","Enero",403,2006-01-01
2007,"Pará","Enero",467,2007-01-01
2008,"Pará","Enero",131,2008-01-01
2009,"Pará","Enero",241,2009-01-01
2010,"Pará","Enero",437,2010-01-01
2011,"Pará","Enero",108,2011-01-01
2012,"Pará","Enero",392,2012-01-01
2013,"Pará","Enero",167,2013-01-01
2014,"Pará","Enero",251,2014-01-01
2015,"Pará","Enero",725,2015-01-01
2016,"Pará","Enero",1.322,2016-01-01
2017,"Pará","Enero",219,2017-01-01
1998,"Pará","Febrero",0,1998-01-01
1999,"Pará","Febrero",285,1999-01-01
2000,"Pará","Febrero",29,2000-01-01
2001,"Pará","Febrero",16,2001-01-01
2002,"Pará","Febrero",120,2002-01-01
2003,"Pará","Febrero",34,2003-01-01
2004,"Pará","Febrero",20,2004-01-01
2005,"Pará","Febrero",85,2005-01-01
2006,"Pará","Febrero",49,2006-01-01
2007,"Pará","Febrero",23,2007-01-01
2008,"Pará","Febrero",54,2008-01-01
2009,"Pará","Febrero",15,2009-01-01
2010,"Pará","Febrero",102,2010-01-01
2011,"Pará","Febrero",13,2011-01-01
2012,"Pará","Febrero",63,2012-01-01
2013,"Pará","Febrero",30,2013-01-01
2014,"Pará","Febrero",37,2014-01-01
2015,"Pará","Febrero",108,2015-01-01
2016,"Pará","Febrero",430,2016-01-01
2017,"Pará","Febrero",14,2017-01-01
1998,"Pará","Marzo",0,1998-01-01
1999,"Pará","Marzo",7,1999-01-01
2000,"Pará","Marzo",181,2000-01-01
2001,"Pará","Marzo",0,2001-01-01
2002,"Pará","Marzo",14,2002-01-01
2003,"Pará","Marzo",27,2003-01-01
2004,"Pará","Marzo",22,2004-01-01
2005,"Pará","Marzo",21,2005-01-01
2006,"Pará","Marzo",10,2006-01-01
2007,"Pará","Marzo",6,2007-01-01
2008,"Pará","Marzo",4,2008-01-01
2009,"Pará","Marzo",4,2009-01-01
2010,"Pará","Marzo",110,2010-01-01
2011,"Pará","Marzo",21,2011-01-01
2012,"Pará","Marzo",30,2012-01-01
2013,"Pará","Marzo",19,2013-01-01
2014,"Pará","Marzo",34,2014-01-01
2015,"Pará","Marzo",61,2015-01-01
2016,"Pará","Marzo",81,2016-01-01
2017,"Pará","Marzo",42,2017-01-01
1998,"Pará","Abril",0,1998-01-01
1999,"Pará","Abril",6,1999-01-01
2000,"Pará","Abril",40,2000-01-01
2001,"Pará","Abril",0,2001-01-01
2002,"Pará","Abril",11,2002-01-01
2003,"Pará","Abril",14,2003-01-01
2004,"Pará","Abril",23,2004-01-01
2005,"Pará","Abril",14,2005-01-01
2006,"Pará","Abril",2,2006-01-01
2007,"Pará","Abril",0,2007-01-01
2008,"Pará","Abril",7,2008-01-01
2009,"Pará","Abril",8,2009-01-01
2010,"Pará","Abril",22,2010-01-01
2011,"Pará","Abril",10,2011-01-01
2012,"Pará","Abril",11,2012-01-01
2013,"Pará","Abril",20,2013-01-01
2014,"Pará","Abril",27,2014-01-01
2015,"Pará","Abril",27,2015-01-01
2016,"Pará","Abril",66,2016-01-01
2017,"Pará","Abril",45,2017-01-01
1998,"Pará","Mayo",0,1998-01-01
1999,"Pará","Mayo",4,1999-01-01
2000,"Pará","Mayo",12,2000-01-01
2001,"Pará","Mayo",7,2001-01-01
2002,"Pará","Mayo",18,2002-01-01
2003,"Pará","Mayo",3,2003-01-01
2004,"Pará","Mayo",44,2004-01-01
2005,"Pará","Mayo",37,2005-01-01
2006,"Pará","Mayo",0,2006-01-01
2007,"Pará","Mayo",9,2007-01-01
2008,"Pará","Mayo",0,2008-01-01
2009,"Pará","Mayo",7,2009-01-01
2010,"Pará","Mayo",57,2010-01-01
2011,"Pará","Mayo",16,2011-01-01
2012,"Pará","Mayo",59,2012-01-01
2013,"Pará","Mayo",42,2013-01-01
2014,"Pará","Mayo",70,2014-01-01
2015,"Pará","Mayo",95,2015-01-01
2016,"Pará","Mayo",154,2016-01-01
2017,"Pará","Mayo",114,2017-01-01
1998,"Pará","Junio",58,1998-01-01
1999,"Pará","Junio",37,1999-01-01
2000,"Pará","Junio",59,2000-01-01
2001,"Pará","Junio",42,2001-01-01
2002,"Pará","Junio",149,2002-01-01
2003,"Pará","Junio",64,2003-01-01
2004,"Pará","Junio",340,2004-01-01
2005,"Pará","Junio",304,2005-01-01
2006,"Pará","Junio",78,2006-01-01
2007,"Pará","Junio",129,2007-01-01
2008,"Pará","Junio",48,2008-01-01
2009,"Pará","Junio",38,2009-01-01
2010,"Pará","Junio",94,2010-01-01
2011,"Pará","Junio",105,2011-01-01
2012,"Pará","Junio",183,2012-01-01
2013,"Pará","Junio",173,2013-01-01
2014,"Pará","Junio",319,2014-01-01
2015,"Pará","Junio",265,2015-01-01
2016,"Pará","Junio",502,2016-01-01
2017,"Pará","Junio",679,2017-01-01
1998,"Pará","Julio",638,1998-01-01
1999,"Pará","Julio",982,1999-01-01
2000,"Pará","Julio",426,2000-01-01
2001,"Pará","Julio",708,2001-01-01
2002,"Pará","Julio",772,2002-01-01
2003,"Pará","Julio",1.571,2003-01-01
2004,"Pará","Julio",4.436,2004-01-01
2005,"Pará","Julio",4.364,2005-01-01
2006,"Pará","Julio",615,2006-01-01
2007,"Pará","Julio",476,2007-01-01
2008,"Pará","Julio",971,2008-01-01
2009,"Pará","Julio",397,2009-01-01
2010,"Pará","Julio",1.432,2010-01-01
2011,"Pará","Julio",632,2011-01-01
2012,"Pará","Julio",661,2012-01-01
2013,"Pará","Julio",447,2013-01-01
2014,"Pará","Julio",825,2014-01-01
2015,"Pará","Julio",906,2015-01-01
2016,"Pará","Julio",1.579,2016-01-01
2017,"Pará","Julio",4.985,2017-01-01
1998,"Pará","Agosto",6.815,1998-01-01
1999,"Pará","Agosto",6.178,1999-01-01
2000,"Pará","Agosto",5.484,2000-01-01
2001,"Pará","Agosto",9.043,2001-01-01
2002,"Pará","Agosto",15.664,2002-01-01
2003,"Pará","Agosto",6.255,2003-01-01
2004,"Pará","Agosto",12.812,2004-01-01
2005,"Pará","Agosto",13.055,2005-01-01
2006,"Pará","Agosto",7.575,2006-01-01
2007,"Pará","Agosto",14.352,2007-01-01
2008,"Pará","Agosto",4.435,2008-01-01
2009,"Pará","Agosto",3.859,2009-01-01
2010,"Pará","Agosto",18.13,2010-01-01
2011,"Pará","Agosto",2.195,2011-01-01
2012,"Pará","Agosto",6.964,2012-01-01
2013,"Pará","Agosto",2.161,2013-01-01
2014,"Pará","Agosto",8.555,2014-01-01
2015,"Pará","Agosto",7.913,2015-01-01
2016,"Pará","Agosto",4.863,2016-01-01
2017,"Pará","Agosto",11.962,2017-01-01
1998,"Pará","Septiembre",6.237,1998-01-01
1999,"Pará","Septiembre",4.419,1999-01-01
2000,"Pará","Septiembre",2.569,2000-01-01
2001,"Pará","Septiembre",6.139,2001-01-01
2002,"Pará","Septiembre",5.609,2002-01-01
2003,"Pará","Septiembre",8.447,2003-01-01
2004,"Pará","Septiembre",9.471,2004-01-01
2005,"Pará","Septiembre",9.032,2005-01-01
2006,"Pará","Septiembre",8.372,2006-01-01
2007,"Pará","Septiembre",14.59,2007-01-01
2008,"Pará","Septiembre",6.294,2008-01-01
2009,"Pará","Septiembre",6.051,2009-01-01
2010,"Pará","Septiembre",10.81,2010-01-01
2011,"Pará","Septiembre",5.185,2011-01-01
2012,"Pará","Septiembre",6.87,2012-01-01
2013,"Pará","Septiembre",3.36,2013-01-01
2014,"Pará","Septiembre",6.787,2014-01-01
2015,"Pará","Septiembre",11.068,2015-01-01
2016,"Pará","Septiembre",3.953,2016-01-01
2017,"Pará","Septiembre",25.004,2017-01-01
1998,"Pará","Octubre",3.665,1998-01-01
1999,"Pará","Octubre",5.026,1999-01-01
2000,"Pará","Octubre",4.313,2000-01-01
2001,"Pará","Octubre",5.096,2001-01-01
2002,"Pará","Octubre",5.189,2002-01-01
2003,"Pará","Octubre",3.803,2003-01-01
2004,"Pará","Octubre",4.726,2004-01-01
2005,"Pará","Octubre",5.083,2005-01-01
2006,"Pará","Octubre",5.964,2006-01-01
2007,"Pará","Octubre",2.504,2007-01-01
2008,"Pará","Octubre",6.653,2008-01-01
2009,"Pará","Octubre",6.342,2009-01-01
2010,"Pará","Octubre",3.843,2010-01-01
2011,"Pará","Octubre",3.141,2011-01-01
2012,"Pará","Octubre",3.714,2012-01-01
2013,"Pará","Octubre",4.921,2013-01-01
2014,"Pará","Octubre",6.448,2014-01-01
2015,"Pará","Octubre",7.781,2015-01-01
2016,"Pará","Octubre",5.281,2016-01-01
2017,"Pará","Octubre",7.628,2017-01-01
1998,"Pará","Noviembre",1.861,1998-01-01
1999,"Pará","Noviembre",2.682,1999-01-01
2000,"Pará","Noviembre",3.366,2000-01-01
2001,"Pará","Noviembre",4.938,2001-01-01
2002,"Pará","Noviembre",7.996,2002-01-01
2003,"Pará","Noviembre",6.195,2003-01-01
2004,"Pará","Noviembre",9.842,2004-01-01
2005,"Pará","Noviembre",4.968,2005-01-01
2006,"Pará","Noviembre",2.883,2006-01-01
2007,"Pará","Noviembre",2.89,2007-01-01
2008,"Pará","Noviembre",2.403,2008-01-01
2009,"Pará","Noviembre",10.012,2009-01-01
2010,"Pará","Noviembre",4.417,2010-01-01
2011,"Pará","Noviembre",3.043,2011-01-01
2012,"Pará","Noviembre",6.156,2012-01-01
2013,"Pará","Noviembre",3.688,2013-01-01
2014,"Pará","Noviembre",7.767,2014-01-01
2015,"Pará","Noviembre",9.643,2015-01-01
2016,"Pará","Noviembre",7.879,2016-01-01
2017,"Pará","Noviembre",9.079,2017-01-01
1998,"Pará","Diciembre",1.008,1998-01-01
1999,"Pará","Diciembre",766,1999-01-01
2000,"Pará","Diciembre",1.698,2000-01-01
2001,"Pará","Diciembre",2.564,2001-01-01
2002,"Pará","Diciembre",3.118,2002-01-01
2003,"Pará","Diciembre",4.787,2003-01-01
2004,"Pará","Diciembre",5.508,2004-01-01
2005,"Pará","Diciembre",1.495,2005-01-01
2006,"Pará","Diciembre",1.417,2006-01-01
2007,"Pará","Diciembre",689,2007-01-01
2008,"Pará","Diciembre",684,2008-01-01
2009,"Pará","Diciembre",2.832,2009-01-01
2010,"Pará","Diciembre",1.612,2010-01-01
2011,"Pará","Diciembre",3.218,2011-01-01
2012,"Pará","Diciembre",1.812,2012-01-01
2013,"Pará","Diciembre",5.514,2013-01-01
2014,"Pará","Diciembre",4.828,2014-01-01
2015,"Pará","Diciembre",6.61,2015-01-01
2016,"Pará","Diciembre",3.3,2016-01-01
1998,"Paraiba","Enero",0,1998-01-01
1999,"Paraiba","Enero",26,1999-01-01
2000,"Paraiba","Enero",0,2000-01-01
2001,"Paraiba","Enero",11,2001-01-01
2002,"Paraiba","Enero",5,2002-01-01
2003,"Paraiba","Enero",70,2003-01-01
2004,"Paraiba","Enero",33,2004-01-01
2005,"Paraiba","Enero",178,2005-01-01
2006,"Paraiba","Enero",83,2006-01-01
2007,"Paraiba","Enero",69,2007-01-01
2008,"Paraiba","Enero",77,2008-01-01
2009,"Paraiba","Enero",115,2009-01-01
2010,"Paraiba","Enero",46,2010-01-01
2011,"Paraiba","Enero",11,2011-01-01
2012,"Paraiba","Enero",61,2012-01-01
2013,"Paraiba","Enero",38,2013-01-01
2014,"Paraiba","Enero",75,2014-01-01
2015,"Paraiba","Enero",42,2015-01-01
2016,"Paraiba","Enero",18,2016-01-01
2017,"Paraiba","Enero",23,2017-01-01
1998,"Paraiba","Febrero",0,1998-01-01
1999,"Paraiba","Febrero",2,1999-01-01
2000,"Paraiba","Febrero",11,2000-01-01
2001,"Paraiba","Febrero",6,2001-01-01
2002,"Paraiba","Febrero",18,2002-01-01
2003,"Paraiba","Febrero",3,2003-01-01
2004,"Paraiba","Febrero",3,2004-01-01
2005,"Paraiba","Febrero",15,2005-01-01
2006,"Paraiba","Febrero",7,2006-01-01
2007,"Paraiba","Febrero",7,2007-01-01
2008,"Paraiba","Febrero",20,2008-01-01
2009,"Paraiba","Febrero",9,2009-01-01
2010,"Paraiba","Febrero",15,2010-01-01
2011,"Paraiba","Febrero",5,2011-01-01
2012,"Paraiba","Febrero",15,2012-01-01
2013,"Paraiba","Febrero",9,2013-01-01
2014,"Paraiba","Febrero",6,2014-01-01
2015,"Paraiba","Febrero",15,2015-01-01
2016,"Paraiba","Febrero",4,2016-01-01
2017,"Paraiba","Febrero",8,2017-01-01
1998,"Paraiba","Marzo",0,1998-01-01
1999,"Paraiba","Marzo",1,1999-01-01
2000,"Paraiba","Marzo",5,2000-01-01
2001,"Paraiba","Marzo",0,2001-01-01
2002,"Paraiba","Marzo",3,2002-01-01
2003,"Paraiba","Marzo",0,2003-01-01
2004,"Paraiba","Marzo",3,2004-01-01
2005,"Paraiba","Marzo",13,2005-01-01
2006,"Paraiba","Marzo",4,2006-01-01
2007,"Paraiba","Marzo",1,2007-01-01
2008,"Paraiba","Marzo",8,2008-01-01
2009,"Paraiba","Marzo",2,2009-01-01
2010,"Paraiba","Marzo",16,2010-01-01
2011,"Paraiba","Marzo",6,2011-01-01
2012,"Paraiba","Marzo",4,2012-01-01
2013,"Paraiba","Marzo",3,2013-01-01
2014,"Paraiba","Marzo",18,2014-01-01
2015,"Paraiba","Marzo",7,2015-01-01
2016,"Paraiba","Marzo",1,2016-01-01
2017,"Paraiba","Marzo",2,2017-01-01
1998,"Paraiba","Abril",0,1998-01-01
1999,"Paraiba","Abril",3,1999-01-01
2000,"Paraiba","Abril",1,2000-01-01
2001,"Paraiba","Abril",0,2001-01-01
2002,"Paraiba","Abril",1,2002-01-01
2003,"Paraiba","Abril",0,2003-01-01
2004,"Paraiba","Abril",3,2004-01-01
2005,"Paraiba","Abril",2,2005-01-01
2006,"Paraiba","Abril",0,2006-01-01
2007,"Paraiba","Abril",0,2007-01-01
2008,"Paraiba","Abril",0,2008-01-01
2009,"Paraiba","Abril",1,2009-01-01
2010,"Paraiba","Abril",2,2010-01-01
2011,"Paraiba","Abril",2,2011-01-01
2012,"Paraiba","Abril",13,2012-01-01
2013,"Paraiba","Abril",6,2013-01-01
2014,"Paraiba","Abril",8,2014-01-01
2015,"Paraiba","Abril",11,2015-01-01
2016,"Paraiba","Abril",1,2016-01-01
2017,"Paraiba","Abril",1,2017-01-01
1998,"Paraiba","Mayo",0,1998-01-01
1999,"Paraiba","Mayo",0,1999-01-01
2000,"Paraiba","Mayo",0,2000-01-01
2001,"Paraiba","Mayo",4,2001-01-01
2002,"Paraiba","Mayo",1,2002-01-01
2003,"Paraiba","Mayo",0,2003-01-01
2004,"Paraiba","Mayo",1,2004-01-01
2005,"Paraiba","Mayo",0,2005-01-01
2006,"Paraiba","Mayo",0,2006-01-01
2007,"Paraiba","Mayo",0,2007-01-01
2008,"Paraiba","Mayo",0,2008-01-01
2009,"Paraiba","Mayo",0,2009-01-01
2010,"Paraiba","Mayo",10,2010-01-01
2011,"Paraiba","Mayo",0,2011-01-01
2012,"Paraiba","Mayo",10,2012-01-01
2013,"Paraiba","Mayo",3,2013-01-01
2014,"Paraiba","Mayo",1,2014-01-01
2015,"Paraiba","Mayo",6,2015-01-01
2016,"Paraiba","Mayo",1,2016-01-01
2017,"Paraiba","Mayo",1,2017-01-01
1998,"Paraiba","Junio",3,1998-01-01
1999,"Paraiba","Junio",1,1999-01-01
2000,"Paraiba","Junio",2,2000-01-01
2001,"Paraiba","Junio",0,2001-01-01
2002,"Paraiba","Junio",1,2002-01-01
2003,"Paraiba","Junio",0,2003-01-01
2004,"Paraiba","Junio",0,2004-01-01
2005,"Paraiba","Junio",0,2005-01-01
2006,"Paraiba","Junio",0,2006-01-01
2007,"Paraiba","Junio",0,2007-01-01
2008,"Paraiba","Junio",0,2008-01-01
2009,"Paraiba","Junio",0,2009-01-01
2010,"Paraiba","Junio",3,2010-01-01
2011,"Paraiba","Junio",2,2011-01-01
2012,"Paraiba","Junio",5,2012-01-01
2013,"Paraiba","Junio",3,2013-01-01
2014,"Paraiba","Junio",1,2014-01-01
2015,"Paraiba","Junio",0,2015-01-01
2016,"Paraiba","Junio",4,2016-01-01
2017,"Paraiba","Junio",0,2017-01-01
1998,"Paraiba","Julio",0,1998-01-01
1999,"Paraiba","Julio",1,1999-01-01
2000,"Paraiba","Julio",0,2000-01-01
2001,"Paraiba","Julio",8,2001-01-01
2002,"Paraiba","Julio",8,2002-01-01
2003,"Paraiba","Julio",6,2003-01-01
2004,"Paraiba","Julio",1,2004-01-01
2005,"Paraiba","Julio",0,2005-01-01
2006,"Paraiba","Julio",1,2006-01-01
2007,"Paraiba","Julio",1,2007-01-01
2008,"Paraiba","Julio",0,2008-01-01
2009,"Paraiba","Julio",3,2009-01-01
2010,"Paraiba","Julio",7,2010-01-01
2011,"Paraiba","Julio",6,2011-01-01
2012,"Paraiba","Julio",5,2012-01-01
2013,"Paraiba","Julio",1,2013-01-01
2014,"Paraiba","Julio",9,2014-01-01
2015,"Paraiba","Julio",3,2015-01-01
2016,"Paraiba","Julio",22,2016-01-01
2017,"Paraiba","Julio",2,2017-01-01
1998,"Paraiba","Agosto",3,1998-01-01
1999,"Paraiba","Agosto",4,1999-01-01
2000,"Paraiba","Agosto",7,2000-01-01
2001,"Paraiba","Agosto",34,2001-01-01
2002,"Paraiba","Agosto",38,2002-01-01
2003,"Paraiba","Agosto",14,2003-01-01
2004,"Paraiba","Agosto",18,2004-01-01
2005,"Paraiba","Agosto",0,2005-01-01
2006,"Paraiba","Agosto",3,2006-01-01
2007,"Paraiba","Agosto",8,2007-01-01
2008,"Paraiba","Agosto",1,2008-01-01
2009,"Paraiba","Agosto",4,2009-01-01
2010,"Paraiba","Agosto",9,2010-01-01
2011,"Paraiba","Agosto",12,2011-01-01
2012,"Paraiba","Agosto",13,2012-01-01
2013,"Paraiba","Agosto",3,2013-01-01
2014,"Paraiba","Agosto",30,2014-01-01
2015,"Paraiba","Agosto",5,2015-01-01
2016,"Paraiba","Agosto",50,2016-01-01
2017,"Paraiba","Agosto",3,2017-01-01
1998,"Paraiba","Septiembre",50,1998-01-01
1999,"Paraiba","Septiembre",14,1999-01-01
2000,"Paraiba","Septiembre",9,2000-01-01
